identifier	prefLabel	altLabel	description	historyNote
homoit0000029	AIDS-Memorials	AIDS-Gedenkfeier||AIDS-Denkmäler	Projekte und Veranstaltungen zum Gedenken an Menschen, die an den Folgen von AIDS gestorben sind.	
homoit0000030	AIDS-Organisationen		Community-basierte Gruppen oder Einrichtungen, die Menschen mit HIV/AIDS unterstützen und sich für sie einsetzen.	
homoit0000031	AIDS-Publikationen	AIDS-Zeitschriften	Regelmäßig erscheinende gedruckte oder digitale Publikationen, die von oder für Menschen mit AIDS erstellt werden.	
homoit0000032	AIDS-Phobie	Angst vor AIDS	Starke Ablehnung oder Abscheu gegenüber Personen mit HIV/AIDS oder Verhaltensweisen, von denen man annimmt, dass sie das Risiko einer Ansteckung mit HIV/AIDS mit sich bringen. AIDS-Phobie kann Isolation, Stereotypen, verbale Belästigung und physische Gewalt beinhalten.	
homoit0000035	Akava'ine		Ein Begriff der Māori der Cook-Inseln, der sich auf Transgender-Personen mit Māori-Abstammung von den Cook-Inseln bezieht.	
homoit0000037	Ali		Tamilische Beleidigung für einen femininen schwulen Mann; lässt sich direkt mit Hermaphrodit übersetzen.	
homoit0000038	Verbündete	Unterstützer:innen	Personen einer privilegierten sozialen Identität, die Randgruppen, denen sie nicht angehören, unterstützen, sich mit ihnen solidarisieren und sich für eine Verbesserung derer Interessen einsetzen.	
homoit0001823	Alloromantische Personen		Personen, die regelmäßig und in beständiger Weise romantische Anziehung und Begierde erleben, oft einhergehend mit sexueller Anziehung.	
homoit0001791	Alloromantik		Eine romantische Orientierung, die durch das regelmäßige und beständige Auftreten romantischer Anziehung und Begierde charakterisiert wird, oft einhergehend mit sexueller Anziehung.	
homoit0001917	Allosexuelle Personen		Personen, die allgemein sexuelle Anziehung oder den Wunsch nach partnerschaftlicher sexueller Erfahrung verspüren.	
homoit0001531	Allosexualität		Eine sexuelle Orientierung, die allgemein durch das Auftreten sexueller Anziehung oder den Wunsch nach partnerschaftlicher sexueller Erfahrung charakterisiert wird.	
homoit0002143	Alternativuniversum (Fanfiction)	Setting eines alternativen Universums (Fanfiction)||AU	Alternernative Schauplätze zum kanonischen Universum eines Textes, in dem Fanfiction spielen könnte.	
